"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT08","WT09","WT11"
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-04-25",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-04-26",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-04-27",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-04-28",,"0.02",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-04-29",,"0.52",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-04-30",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-01",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-02",,"0.03",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-03",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-04",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-07",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-08",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-09",,"0.01",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-10",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-16",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-17",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-18",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-20",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-21",,"0.09",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-27",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-28",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-29",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-30",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-05-31",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-01",,"0.01",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-02",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-03",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-04",,"0.20",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-05",,"0.20",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-08",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-09",,"0.14",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-10",,"0.32",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-12",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-13",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-14",,"0.32",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-15",,"0.10",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-16",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-21",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-22",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-23",,"0.14",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-24",,"0.10",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-25",,"0.19",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-06-26",,"0.23",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-03",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-04",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-05",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-06",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-07",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-08",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-09",,"0.00","0.0",,,,,,,,,,,
