"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-05",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-06",,"0.45",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-07",,"0.93",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-08",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-09",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-10",,"1.86",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-11",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-12",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-13",,"0.37",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-14",,"0.56",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-15",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-16",,"0.84",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-17",,"0.28",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-18",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-25",,"0.99",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-27",,"1.23",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-11-28",,"0.01",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-02",,"0.30",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-03",,"0.40",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-15",,"0.03",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-16",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-17",,"0.70","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-18",,"0.01",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-19",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-20",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-21",,"0.07",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-22",,"0.65",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-23",,"0.01",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-24",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-28",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-29",,"0.27",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-30",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-12-31",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2019-01-01",,"0.58",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-03-12",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-03-19",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-03-21",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-03-23",,"0.30",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-03-24",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-03-26",,"0.18",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-03-28",,"0.01",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-04",,"0.60",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-05",,"0.23",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-06",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-07",,"0.23",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-08",,"0.05",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-12",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-13",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-14",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-17",,"1.30",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-20",,"0.23",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-24",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-25",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-26",,"1.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-27",,"0.17",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-28",,"0.46",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-29",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-04-30",,"0.07",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-01",,"0.19",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-02",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-03",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-06",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-07",,"0.21",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-09",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-11",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-13",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-14",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-15",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-16",,"0.66",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-17",,"0.04",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-19",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-20",,"0.24",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-21",,"0.03",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-22",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-23",,"0.05",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-24",,"0.13",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-25",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-26",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-27",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-28",,"0.18",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-29",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-30",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-05-31",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-01",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-03",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-04",,"0.15",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-05",,"0.73",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-06",,"0.28",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-08",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-11",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-12",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-13",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-14",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-16",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-18",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-19",,"0.20",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-20",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-21",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-22",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-23",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-24",,"0.02",,,,,,,,,,,,,
